mission,source_name,osds,num_organs,organs_list,num_total_assays,assays_per_organ,total_data_files,informativeness_score
RR-1,RR1_FLT_M25,OSD-100 | OSD-101 | OSD-102 | OSD-103 | OSD-104 | OSD-105 | OSD-168 | OSD-48,7,Left gastrocnemius | Left kidney | Left quadriceps femoris | Left tibialis anterior | Liver | Soleus-both sides | left eye,5,"{""Left gastrocnemius"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left kidney"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left quadriceps femoris"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left tibialis anterior"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Liver"": [""Dna Methylation Profiling"", ""Molecular Cellular Imaging"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Soleus-both sides"": [""Dna Methylation Profiling"", ""RNA-Seq""], ""left eye"": [""Dna Methylation Profiling"", ""RNA-Seq""]}",23,39.58
RR-1,RR1_FLT_M26,OSD-100 | OSD-101 | OSD-102 | OSD-103 | OSD-104 | OSD-105 | OSD-168 | OSD-48,7,Left gastrocnemius | Left kidney | Left quadriceps femoris | Left tibialis anterior | Liver | Soleus-both sides | left eye,5,"{""Left gastrocnemius"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left kidney"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left quadriceps femoris"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left tibialis anterior"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Liver"": [""Dna Methylation Profiling"", ""Molecular Cellular Imaging"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Soleus-both sides"": [""Dna Methylation Profiling"", ""RNA-Seq""], ""left eye"": [""Dna Methylation Profiling"", ""RNA-Seq""]}",23,39.58
RR-1,RR1_FLT_M28,OSD-100 | OSD-101 | OSD-102 | OSD-103 | OSD-104 | OSD-105 | OSD-168 | OSD-48,7,Left gastrocnemius | Left kidney | Left quadriceps femoris | Left tibialis anterior | Liver | Soleus-both sides | left eye,5,"{""Left gastrocnemius"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left kidney"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left quadriceps femoris"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left tibialis anterior"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Liver"": [""Dna Methylation Profiling"", ""Molecular Cellular Imaging"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Soleus-both sides"": [""Dna Methylation Profiling"", ""RNA-Seq""], ""left eye"": [""Dna Methylation Profiling"", ""RNA-Seq""]}",23,39.58
RR-1,RR1_GC_M36,OSD-100 | OSD-101 | OSD-102 | OSD-103 | OSD-104 | OSD-105 | OSD-168 | OSD-48,7,Left gastrocnemius | Left kidney | Left quadriceps femoris | Left tibialis anterior | Liver | Soleus-both sides | left eye,5,"{""Left gastrocnemius"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left kidney"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left quadriceps femoris"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left tibialis anterior"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Liver"": [""Dna Methylation Profiling"", ""Molecular Cellular Imaging"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Soleus-both sides"": [""Dna Methylation Profiling"", ""RNA-Seq""], ""left eye"": [""Dna Methylation Profiling"", ""RNA-Seq""]}",23,39.58
RR-1,RR1_GC_M37,OSD-100 | OSD-101 | OSD-102 | OSD-103 | OSD-104 | OSD-105 | OSD-168 | OSD-48,7,Left gastrocnemius | Left kidney | Left quadriceps femoris | Left tibialis anterior | Liver | Soleus-both sides | left eye,5,"{""Left gastrocnemius"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left kidney"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left quadriceps femoris"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left tibialis anterior"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Liver"": [""Dna Methylation Profiling"", ""Molecular Cellular Imaging"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Soleus-both sides"": [""Dna Methylation Profiling"", ""RNA-Seq""], ""left eye"": [""Dna Methylation Profiling"", ""RNA-Seq""]}",23,39.58
RR-1,RR1_GC_M38,OSD-100 | OSD-101 | OSD-102 | OSD-103 | OSD-104 | OSD-105 | OSD-168 | OSD-48,7,Left gastrocnemius | Left kidney | Left quadriceps femoris | Left tibialis anterior | Liver | Soleus-both sides | left eye,5,"{""Left gastrocnemius"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left kidney"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left quadriceps femoris"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left tibialis anterior"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Liver"": [""Dna Methylation Profiling"", ""Molecular Cellular Imaging"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Soleus-both sides"": [""Dna Methylation Profiling"", ""RNA-Seq""], ""left eye"": [""Dna Methylation Profiling"", ""RNA-Seq""]}",23,39.58
RR-1,RR1_FLT_M27,OSD-100 | OSD-101 | OSD-102 | OSD-103 | OSD-104 | OSD-105 | OSD-48,7,Left gastrocnemius | Left kidney | Left quadriceps femoris | Left tibialis anterior | Liver | Soleus-both sides | left eye,5,"{""Left gastrocnemius"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left kidney"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left quadriceps femoris"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left tibialis anterior"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Liver"": [""Dna Methylation Profiling"", ""Molecular Cellular Imaging"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Soleus-both sides"": [""Dna Methylation Profiling"", ""RNA-Seq""], ""left eye"": [""Dna Methylation Profiling"", ""RNA-Seq""]}",21,39.46
RR-1,RR1_GC_M35,OSD-100 | OSD-101 | OSD-102 | OSD-103 | OSD-104 | OSD-105 | OSD-48,7,Left gastrocnemius | Left kidney | Left quadriceps femoris | Left tibialis anterior | Liver | Soleus-both sides | left eye,4,"{""Left gastrocnemius"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left kidney"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left quadriceps femoris"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left tibialis anterior"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Liver"": [""Rna Methylation Profiling""], ""Soleus-both sides"": [""Dna Methylation Profiling"", ""RNA-Seq""], ""left eye"": [""Dna Methylation Profiling"", ""RNA-Seq""]}",17,32.17
RR-1,RR1_GC_M33,OSD-100 | OSD-101 | OSD-102 | OSD-103 | OSD-104 | OSD-105,6,Left gastrocnemius | Left kidney | Left quadriceps femoris | Left tibialis anterior | Soleus-both sides | left eye,4,"{""Left gastrocnemius"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left kidney"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left quadriceps femoris"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left tibialis anterior"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Soleus-both sides"": [""Dna Methylation Profiling"", ""RNA-Seq""], ""left eye"": [""Dna Methylation Profiling"", ""RNA-Seq""]}",16,28.09
RR-1,RR1_GC_M34,OSD-100 | OSD-101 | OSD-102 | OSD-103 | OSD-104 | OSD-105,6,Left gastrocnemius | Left kidney | Left quadriceps femoris | Left tibialis anterior | Soleus-both sides | left eye,4,"{""Left gastrocnemius"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left kidney"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left quadriceps femoris"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Left tibialis anterior"": [""Dna Methylation Profiling"", ""Protein Expression Profiling"", ""RNA-Seq"", ""Rna Methylation Profiling""], ""Soleus-both sides"": [""Dna Methylation Profiling"", ""RNA-Seq""], ""left eye"": [""Dna Methylation Profiling"", ""RNA-Seq""]}",16,28.09
