OSD,source_name,sample_name,organ,assay_types,num_assays,data_files_count,measurement_types,technology_types,device_platforms,informativeness_rank
OSD-100,RR1_FLT_M23,Mmus_C57-6J_EYE_FLT_Rep1_M23,left eye,Dna Methylation Profiling | RNA-Seq,2,2,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,1
OSD-100,RR1_FLT_M24,Mmus_C57-6J_EYE_FLT_Rep2_M24,left eye,Dna Methylation Profiling | RNA-Seq,2,2,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,1
OSD-100,RR1_FLT_M25,Mmus_C57-6J_EYE_FLT_Rep3_M25,left eye,Dna Methylation Profiling | RNA-Seq,2,2,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,1
OSD-100,RR1_FLT_M26,Mmus_C57-6J_EYE_FLT_Rep4_M26,left eye,Dna Methylation Profiling | RNA-Seq,2,2,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,1
OSD-100,RR1_FLT_M27,Mmus_C57-6J_EYE_FLT_Rep5_M27,left eye,Dna Methylation Profiling | RNA-Seq,2,2,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,1
OSD-100,RR1_FLT_M28,Mmus_C57-6J_EYE_FLT_Rep6_M28,left eye,Dna Methylation Profiling | RNA-Seq,2,2,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,1
OSD-100,RR1_GC_M33,Mmus_C57-6J_EYE_GC_Rep1_M33,left eye,Dna Methylation Profiling | RNA-Seq,2,2,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,1
OSD-100,RR1_GC_M34,Mmus_C57-6J_EYE_GC_Rep2_M34,left eye,Dna Methylation Profiling | RNA-Seq,2,2,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,1
OSD-100,RR1_GC_M35,Mmus_C57-6J_EYE_GC_Rep3_M35,left eye,Dna Methylation Profiling | RNA-Seq,2,2,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,1
OSD-100,RR1_GC_M36,Mmus_C57-6J_EYE_GC_Rep4_M36,left eye,Dna Methylation Profiling | RNA-Seq,2,2,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,1
OSD-100,RR1_GC_M37,Mmus_C57-6J_EYE_GC_Rep5_M37,left eye,Dna Methylation Profiling | RNA-Seq,2,2,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,1
OSD-100,RR1_GC_M38,Mmus_C57-6J_EYE_GC_Rep6_M38,left eye,Dna Methylation Profiling | RNA-Seq,2,2,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,1
OSD-101,RR1_FLT_M23,Mmus_C57-6J_GST_FLT_Rep1_M23,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,4,3,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),1
OSD-101,RR1_FLT_M24,Mmus_C57-6J_GST_FLT_Rep2_M24,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,4,3,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),1
OSD-101,RR1_FLT_M25,Mmus_C57-6J_GST_FLT_Rep3_M25,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,4,3,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),1
OSD-101,RR1_FLT_M26,Mmus_C57-6J_GST_FLT_Rep4_M26,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,4,3,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),1
OSD-101,RR1_FLT_M27,Mmus_C57-6J_GST_FLT_Rep5_M27,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,4,3,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),1
OSD-101,RR1_FLT_M28,Mmus_C57-6J_GST_FLT_Rep6_M28,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,4,3,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),1
OSD-101,RR1_GC_M33,Mmus_C57-6J_GST_GC_Rep1_M33,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,4,3,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),1
OSD-101,RR1_GC_M34,Mmus_C57-6J_GST_GC_Rep2_M34,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,4,3,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),1
