osd,source_name,sample_name,organism,material_type,measurement_types,technology_types,device_platforms,data_files
OSD-48,RR1_BSL_M4,Mmus_C57-6J_LVR_BSL_C_Rep1_M4,Mus musculus,Liver,Molecular Cellular Imaging | Protein Expression Profiling,Mass Spectrometry | Microscopy,Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_BSL_M5,Mmus_C57-6J_LVR_BSL_C_Rep2_M5,Mus musculus,Liver,Molecular Cellular Imaging | Protein Expression Profiling,Mass Spectrometry | Microscopy,Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_BSL_M7,Mmus_C57-6J_LVR_BSL_C_Rep3_M7,Mus musculus,Liver,Molecular Cellular Imaging | Protein Expression Profiling,Mass Spectrometry | Microscopy,Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_BSL_M8,Mmus_C57-6J_LVR_BSL_C_Rep4_M8,Mus musculus,Liver,Molecular Cellular Imaging | Protein Expression Profiling,Mass Spectrometry | Microscopy,Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_BSL_M10,Mmus_C57-6J_LVR_BSL_C_Rep5_M10,Mus musculus,Liver,Molecular Cellular Imaging | Protein Expression Profiling,Mass Spectrometry | Microscopy,Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_VIV_M16,Mmus_C57-6J_LVR_VIV_C_Rep1_M16,Mus musculus,Liver,Molecular Cellular Imaging | Protein Expression Profiling,Mass Spectrometry | Microscopy,Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_VIV_M17,Mmus_C57-6J_LVR_VIV_C_Rep2_M17,Mus musculus,Liver,Molecular Cellular Imaging | Protein Expression Profiling,Mass Spectrometry | Microscopy,Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_VIV_M18,Mmus_C57-6J_LVR_VIV_C_Rep3_M18,Mus musculus,Liver,Molecular Cellular Imaging | Protein Expression Profiling,Mass Spectrometry | Microscopy,Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_VIV_M19,Mmus_C57-6J_LVR_VIV_C_Rep4_M19,Mus musculus,Liver,Molecular Cellular Imaging | Protein Expression Profiling,Mass Spectrometry | Microscopy,Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_VIV_M20,Mmus_C57-6J_LVR_VIV_C_Rep5_M20,Mus musculus,Liver,Molecular Cellular Imaging | Protein Expression Profiling,Mass Spectrometry | Microscopy,Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_FLT_M21,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-FLT-21_.tar.gz | GLDS-48_wgbs_N-FLT-21-wgbs.tar.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_FLT_M22,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-FLT-22_.tar.gz | GLDS-48_wgbs_N-FLT-22-wgbs.tar.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_FLT_M25,Mmus_C57-6J_LVR_FLT_C_Rep1_M25,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-FLT-25.tar.gz | GLDS-48_wgbs_N-FLT-25-wgbs.tar.gz | GLDS-48_wtbs_N37_ACTTGA_L004_R1_001.fastq.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_FLT_M26,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-FLT-26.tar.gz | GLDS-48_wgbs_N-FLT-26-wgbs.tar.gz | GLDS-48_wtbs_N38_S37_R1_001.fastq.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_FLT_M27,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-FLT-27.tar.gz | GLDS-48_wgbs_N-FLT-27-wgbs.tar.gz | GLDS-48_wtbs_N39_S38_R1_001.fastq.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_FLT_M28,Mmus_C57-6J_LVR_FLT_C_Rep4_M28,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-FLT-28.tar.gz | GLDS-48_wgbs_N-FLT-28-wgbs.tar.gz | GLDS-48_wtbs_N40_S39_R1_001.fastq.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_FLT_M29,Mmus_C57-6J_LVR_FLT_C_Rep6_M29,Mus musculus,Liver,Rna Methylation Profiling,Whole Transcriptome Bisulfite Sequencing,Illumina,GLDS-48_wtbs_N41_CGATGT_L005_R1_001.fastq.gz
OSD-48,RR1_FLT_M30,Mmus_C57-6J_LVR_FLT_C_Rep5_M30,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-FLT-30.tar.gz | GLDS-48_wgbs_N-FLT-30-wgbs.tar.gz | GLDS-48_wtbs_N42_TGACCA_L005_R1_001.fastq.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
