osd_id,sample_id,age,mouse_id,n_mice_total,Has_RNAseq,mouse_genetic_variant,mouse_source,study purpose,n_RNAseq_mice,age_when_sent_to_space
OSD-48,Mmus_C57-6J_LVR_BSL_C_Rep1_M4,16,RR1_BSL_M4,31,Yes,,Jackson Laboratory,Translating fundamental biological discoveries from NASA Space Biology program into health risk from space flights has been an ongoing challenge. We propose to use NASA GeneLab database to gain new...,31,16
OSD-48,Mmus_C57-6J_LVR_BSL_C_Rep2_M5,16,RR1_BSL_M5,31,Yes,,Jackson Laboratory,Translating fundamental biological discoveries from NASA Space Biology program into health risk from space flights has been an ongoing challenge. We propose to use NASA GeneLab database to gain new...,31,16
OSD-48,Mmus_C57-6J_LVR_BSL_C_Rep3_M7,16,RR1_BSL_M7,31,Yes,,Jackson Laboratory,Translating fundamental biological discoveries from NASA Space Biology program into health risk from space flights has been an ongoing challenge. We propose to use NASA GeneLab database to gain new...,31,16
OSD-48,Mmus_C57-6J_LVR_BSL_C_Rep4_M8,16,RR1_BSL_M8,31,Yes,,Jackson Laboratory,Translating fundamental biological discoveries from NASA Space Biology program into health risk from space flights has been an ongoing challenge. We propose to use NASA GeneLab database to gain new...,31,16
OSD-48,Mmus_C57-6J_LVR_BSL_C_Rep5_M10,16,RR1_BSL_M10,31,Yes,,Jackson Laboratory,Translating fundamental biological discoveries from NASA Space Biology program into health risk from space flights has been an ongoing challenge. We propose to use NASA GeneLab database to gain new...,31,16
OSD-48,Mmus_C57-6J_LVR_VIV_C_Rep1_M16,16,RR1_VIV_M16,31,Yes,,Jackson Laboratory,Translating fundamental biological discoveries from NASA Space Biology program into health risk from space flights has been an ongoing challenge. We propose to use NASA GeneLab database to gain new...,31,16
OSD-48,Mmus_C57-6J_LVR_VIV_C_Rep2_M17,16,RR1_VIV_M17,31,Yes,,Jackson Laboratory,Translating fundamental biological discoveries from NASA Space Biology program into health risk from space flights has been an ongoing challenge. We propose to use NASA GeneLab database to gain new...,31,16
OSD-48,Mmus_C57-6J_LVR_VIV_C_Rep3_M18,16,RR1_VIV_M18,31,Yes,,Jackson Laboratory,Translating fundamental biological discoveries from NASA Space Biology program into health risk from space flights has been an ongoing challenge. We propose to use NASA GeneLab database to gain new...,31,16
OSD-48,Mmus_C57-6J_LVR_VIV_C_Rep4_M19,16,RR1_VIV_M19,31,Yes,,Jackson Laboratory,Translating fundamental biological discoveries from NASA Space Biology program into health risk from space flights has been an ongoing challenge. We propose to use NASA GeneLab database to gain new...,31,16
OSD-48,Mmus_C57-6J_LVR_VIV_C_Rep5_M20,16,RR1_VIV_M20,31,Yes,,Jackson Laboratory,Translating fundamental biological discoveries from NASA Space Biology program into health risk from space flights has been an ongoing challenge. We propose to use NASA GeneLab database to gain new...,31,16
